,bases.xml,dirt.xml,dirt_half1.xml,dirt_half2.xml,dirt_qtr1.xml,dirt_qtr2.xml,dirt_qtr3.xml,dirt_qtr4.xml,grass.xml,grass_half1.xml,grass_half2.xml,grass_qtr1.xml,grass_qtr2.xml,grass_qtr3.xml,grass_qtr4.xml,
bases.xml.svm,1 1 1 ,1 0 0 ,1 0 0 ,1 0 0 ,1 0 0 ,1 0 0 ,1 0 0 ,1 0 0 ,       1 0.388889 0.388889 ,       1 0.392857 0.392857 ,       1 0.384615 0.384615 ,       1 0.230769 0.230769 ,       1 0.533333 0.533333 ,  1 0.4 0.4 ,    1 0.375 0.375 ,
detector.svm,1 0 0 ,       1 0.537037 0.537037 ,       1 0.612903 0.612903 ,       1 0.434783 0.434783 ,       1 0.428571 0.428571 ,       1 0.764706 0.764706 ,       1 0.285714 0.285714 ,       1 0.666667 0.666667 ,0.910714 0.944444 0.936169 ,   0.875        1 0.991765 ,0.958333 0.884615 0.883013 ,1 1 1 ,0.789474        1 0.977778 ,0.909091        1        1 ,     1 0.8125 0.8125 ,
detector_qtr1.svm,1 0 0 ,       1 0.444444 0.444444 ,       1 0.677419 0.677419 ,       1 0.130435 0.130435 ,       1 0.571429 0.571429 ,       1 0.764706 0.764706 ,        1 0.0714286 0.0714286 ,       1 0.222222 0.222222 ,0.897959 0.814815 0.810415 ,0.866667 0.928571 0.928571 ,0.947368 0.692308 0.686235 ,1 1 1 ,0.764706 0.866667 0.866667 ,0.909091        1 0.981818 ,  1 0.5 0.5 ,
dirt.xml.svm,1 0 0 ,0.981132 0.962963 0.962963 ,       1 0.967742 0.967742 ,0.956522 0.956522 0.956522 ,       1 0.928571 0.928571 ,1 1 1 ,       1 0.928571 0.928571 ,0.9   1   1 ,  0.9375 0.833333 0.820107 ,0.896552 0.928571 0.902599 ,       1 0.730769 0.730769 ,1 1 1 ,  0.8125 0.866667 0.866667 ,  1 0.9 0.9 ,    1 0.625 0.625 ,
dirt_half1.xml.svm,1 0 0 ,0.907407 0.907407 0.887086 ,1 1 1 ,0.782609 0.782609 0.673778 ,1 1 1 ,1 1 1 ,       1 0.857143 0.857143 ,0.545455 0.666667 0.540741 ,0.913043 0.777778 0.768398 ,0.896552 0.928571 0.908163 ,0.941176 0.615385 0.615385 ,1 1 1 ,  0.8125 0.866667 0.866667 ,0.9 0.9 0.9 ,     1 0.4375 0.4375 ,
dirt_qtr1.xml.svm,1 0 0 ,0.907407 0.907407 0.881475 ,1 1 1 ,0.782609 0.782609 0.650284 ,1 1 1 ,1 1 1 ,       1 0.857143 0.857143 ,0.545455 0.666667 0.464646 , 0.93617 0.814815 0.801463 ,0.896552 0.928571 0.900075 ,       1 0.692308 0.692308 ,1 1 1 ,  0.8125 0.866667 0.857143 ,1 1 1 ,  1 0.5 0.5 ,
dirt_qtr2.xml.svm,1 0 0 ,0.916667 0.814815 0.807747 ,       1 0.935484 0.935484 ,0.789474 0.652174 0.603464 ,       1 0.857143 0.857143 ,1 1 1 ,       1 0.642857 0.642857 ,     0.6 0.666667  0.62963 ,0.933333 0.777778 0.769456 ,0.896552 0.928571  0.91257 ,       1 0.615385 0.615385 ,1 1 1 ,  0.8125 0.866667 0.866667 ,  1 0.9 0.9 ,     1 0.4375 0.4375 ,
dirt_qtr3.xml.svm,1 0 0 ,0.910714 0.944444 0.930449 ,       1 0.967742 0.967742 ,0.807692 0.913043 0.884151 ,       1 0.928571 0.928571 ,1 1 1 ,1 1 1 ,0.583333 0.777778 0.709877 ,  0.9375 0.833333 0.824021 ,0.896552 0.928571 0.909176 ,       1 0.730769 0.730769 ,1 1 1 ,  0.8125 0.866667 0.861905 ,  1 0.9 0.9 ,    1 0.625 0.625 ,
dirt_qtr4.xml.svm,1 0 0 ,       1 0.314815 0.314815 ,       1 0.193548 0.193548 ,       1 0.478261 0.478261 ,        1 0.0714286 0.0714286 ,       1 0.294118 0.294118 ,       1 0.142857 0.142857 ,1 1 1 ,0.857143 0.333333 0.305886 ,    0.75 0.321429 0.276786 ,       1 0.346154 0.346154 ,       1 0.153846 0.153846 ,     0.7 0.466667 0.416667 ,  1 0.4 0.4 ,     1 0.3125 0.3125 ,
grass.xml.svm,1 0 0 ,       1 0.462963 0.462963 ,       1 0.580645 0.580645 ,       1 0.304348 0.304348 ,       1 0.428571 0.428571 ,       1 0.705882 0.705882 ,       1 0.142857 0.142857 ,       1 0.555556 0.555556 ,0.924528 0.907407 0.901401 ,0.896552 0.928571 0.927249 ,0.958333 0.884615 0.883013 ,1 1 1 ,  0.8125 0.866667 0.866667 ,0.909091        1        1 ,     1 0.8125 0.8125 ,
grass_half1.xml.svm,1 0 0 ,       1 0.277778 0.277778 ,       1 0.451613 0.451613 ,        1 0.0434783 0.0434783 ,       1 0.214286 0.214286 ,       1 0.647059 0.647059 ,        1 0.0714286 0.0714286 ,1 0 0 , 0.93617 0.814815 0.811484 ,0.928571 0.928571 0.927249 ,0.947368 0.692308 0.690283 ,1 1 1 ,0.866667 0.866667 0.866667 ,0.909091        1        1 ,  1 0.5 0.5 ,
grass_half2.xml.svm,1 0 0 ,       1 0.592593 0.592593 ,       1 0.580645 0.580645 ,       1 0.608696 0.608696 ,       1 0.428571 0.428571 ,       1 0.705882 0.705882 ,       1 0.428571 0.428571 ,       1 0.888889 0.888889 ,0.928571 0.962963 0.950155 ,0.896552 0.928571 0.909051 ,0.962963        1        1 ,1 1 1 ,  0.8125 0.866667 0.861905 ,0.909091        1        1 ,1 1 1 ,
grass_qtr1.xml.svm,1 0 0 ,       1 0.444444 0.444444 ,       1 0.677419 0.677419 ,       1 0.130435 0.130435 ,       1 0.571429 0.571429 ,       1 0.764706 0.764706 ,        1 0.0714286 0.0714286 ,       1 0.222222 0.222222 ,0.897959 0.814815 0.810415 ,0.866667 0.928571 0.928571 ,0.947368 0.692308 0.686235 ,1 1 1 ,0.764706 0.866667 0.866667 ,0.909091        1 0.981818 ,  1 0.5 0.5 ,
grass_qtr2.xml.svm,1 0 0 ,        1 0.0740741 0.0740741 ,        1 0.0967742 0.0967742 ,        1 0.0434783 0.0434783 ,        1 0.0714286 0.0714286 ,       1 0.117647 0.117647 ,        1 0.0714286 0.0714286 ,1 0 0 , 0.97619 0.759259 0.758818 ,0.962963 0.928571 0.927249 ,       1 0.576923 0.576923 ,1 1 1 ,0.928571 0.866667 0.866667 ,  1 0.8 0.8 ,     1 0.4375 0.4375 ,
grass_qtr3.xml.svm,1 0 0 ,        1 0.0925926 0.0925926 ,      1 0.16129 0.16129 ,1 0 0 ,        1 0.0714286 0.0714286 ,       1 0.235294 0.235294 ,1 0 0 ,1 0 0 ,0.977273 0.796296 0.791667 ,0.962963 0.928571 0.919312 ,       1 0.653846 0.653846 ,1 1 1 ,0.928571 0.866667 0.866667 ,1 1 1 ,     1 0.4375 0.4375 ,
grass_qtr4.xml.svm,1 0 0 ,       1 0.574074 0.574074 ,       1 0.483871 0.483871 ,       1 0.695652 0.695652 ,       1 0.285714 0.285714 ,       1 0.647059 0.647059 ,       1 0.642857 0.642857 ,       1 0.777778 0.777778 ,0.928571 0.962963 0.948428 ,0.896552 0.928571 0.900719 ,0.962963        1 0.998575 ,1 1 1 ,  0.8125 0.866667     0.84 ,0.909091        1 0.990909 ,1 1 1 ,
